neighbourhood_cleansed,room_type,pearson_r,sample_size,avg_price_clean,avg_review_scores_rating
Chinatown,Private room,-0.057170622528807266,45,218.1888888888889,4.660666666666667
City Island,Entire home/apt,0.22375909138075994,11,143.45454545454547,4.901818181818182
Claremont Village,Private room,0.11337806050634196,12,75.16666666666667,4.620833333333333
Clason Point,Private room,0.15957121812176525,13,67.23076923076923,4.835384615384616
Clinton Hill,Entire home/apt,0.01988134806477133,74,221.09459459459458,4.797972972972973
Clinton Hill,Private room,0.17759822567280587,41,152.52439024390245,4.734634146341463
Cobble Hill,Entire home/apt,-0.1610893286438959,11,202.63636363636363,4.8109090909090915
College Point,Entire home/apt,0.21367531463451364,14,180.35714285714286,4.892142857142858
College Point,Private room,-0.3768579625645622,15,103.53333333333333,4.757333333333334
Concourse,Private room,0.36478716469823275,22,104.0909090909091,4.770909090909091
Concourse Village,Private room,-0.11892019774091094,13,85.61538461538461,4.8730769230769235
Corona,Private room,0.2254055913289235,17,88.29411764705883,4.595882352941176
Crown Heights,Entire home/apt,-0.014138439869291931,262,192.91603053435114,4.793358778625954
Crown Heights,Private room,0.13888158132146444,156,107.74038461538461,4.779807692307693
Cypress Hills,Entire home/apt,0.014300480589286043,47,176.27659574468086,4.691063829787234
Cypress Hills,Private room,0.10954262564204345,79,66.53164556962025,4.815822784810127
Ditmars Steinway,Entire home/apt,-0.028056032482516337,40,184.225,4.85125
Ditmars Steinway,Private room,0.3066501058818837,56,100.80357142857143,4.842678571428572
Downtown Brooklyn,Entire home/apt,0.3869748001850646,10,201.1,4.931
Downtown Brooklyn,Private room,-0.6069850339262386,15,278.1333333333333,4.696666666666667
East Elmhurst,Entire home/apt,-0.06118968380482338,65,167.4923076923077,4.828307692307693
East Elmhurst,Private room,0.22047290660765134,68,90.83823529411765,4.713823529411764
East Flatbush,Entire home/apt,0.06439256560909401,140,173.32142857142858,4.779071428571429
East Flatbush,Private room,0.15113185551496738,150,96.11333333333333,4.776533333333333
East Harlem,Entire home/apt,0.066027707371395,152,180.42105263157896,4.624605263157895
East Harlem,Private room,0.21014648067742406,114,107.47368421052632,4.486140350877193
East New York,Entire home/apt,0.12235912791823308,113,166.02654867256638,4.7056637168141595
East New York,Private room,0.1938716490314595,88,89.55681818181819,4.751022727272727
East Village,Entire home/apt,0.022905006499117635,204,228.1764705882353,4.695490196078432
East Village,Private room,0.06571862829145513,71,160.6338028169014,4.802394366197182
Edenwald,Private room,-0.39303242262158905,11,55.18181818181818,4.8500000000000005
Elmhurst,Entire home/apt,0.3066847867726745,24,131.20833333333334,4.804166666666667
Elmhurst,Private room,0.10724937910131971,88,62.73863636363637,4.730113636363637
Far Rockaway,Entire home/apt,-0.727930802898436,17,210.05882352941177,4.662941176470588
Far Rockaway,Private room,-0.841531190660808,12,54.75,4.9799999999999995
Financial District,Entire home/apt,0.10442271549152465,114,323.57894736842104,4.687192982456141
Financial District,Private room,-0.02921183041478198,44,389.70454545454544,4.692045454545454
Flatbush,Entire home/apt,0.08543176283400433,71,169.53521126760563,4.782957746478873
Flatbush,Private room,0.10064642819340841,111,115.3018018018018,4.796846846846846
Flatiron District,Private room,0.33921927081314807,20,311.3,4.468499999999999
Flatlands,Entire home/apt,0.3074279001627538,25,174.0,4.8096
Flatlands,Private room,0.0004978752300926689,31,108.83870967741936,4.804838709677419
Flushing,Entire home/apt,-0.112132555075186,54,174.14814814814815,4.796481481481481
Flushing,Private room,0.169358357258487,114,89.4298245614035,4.705263157894737
Fordham,Private room,0.05831545516146453,22,58.04545454545455,4.756818181818182
Forest Hills,Entire home/apt,-0.23307698849274516,22,200.36363636363637,4.535454545454545
Forest Hills,Private room,0.6786944761949518,19,149.8421052631579,4.778421052631579
Fort Greene,Entire home/apt,0.040563450841819976,69,209.8985507246377,4.864347826086957
Fort Greene,Private room,0.4330454463201846,37,161.77027027027026,4.766756756756757
Fort Hamilton,Entire home/apt,-0.5148385058115594,66,182.95454545454547,4.55030303030303
Fresh Meadows,Private room,0.08994300904273926,18,103.38888888888889,4.683333333333334
Glendale,Entire home/apt,-0.05642452280117566,20,179.1,4.8740000000000006
Glendale,Private room,0.07417598849271373,17,67.0,4.8094117647058825
Gowanus,Entire home/apt,0.03936590933072876,37,211.78378378378378,4.891351351351351
Gowanus,Private room,0.00877770738620751,20,164.55,4.747000000000001
Gramercy,Entire home/apt,0.011557683021083561,64,213.96875,4.688281249999999
Gramercy,Private room,0.5356898218178301,24,140.22916666666666,4.7370833333333335
Gravesend,Entire home/apt,0.0027529355705430713,15,117.66666666666667,4.775333333333334
Gravesend,Private room,0.29266133708496356,19,128.8421052631579,4.429473684210526
Greenpoint,Entire home/apt,-0.05550272677228395,132,282.9166666666667,4.844318181818181
Greenpoint,Private room,0.16547760243543783,54,193.67592592592592,4.604444444444444
Greenwich Village,Entire home/apt,0.11061976100179306,35,268.6857142857143,4.877714285714286
Harlem,Entire home/apt,0.06561431560965231,345,204.05797101449275,4.743420289855073
Harlem,Private room,0.11003953009750819,356,106.35252808988764,4.771067415730337
Hell's Kitchen,Entire home/apt,0.02659198481193795,455,193.57802197802198,4.667912087912087
Hell's Kitchen,Private room,-0.05946761568903005,164,239.58841463414635,4.5773170731707316
Howard Beach,Entire home/apt,-0.06681099017363523,10,165.3,4.796
Hunts Point,Private room,0.6470647411881111,15,51.8,4.714666666666667
Inwood,Entire home/apt,-0.1509848964911521,20,125.4,4.782499999999999
Inwood,Private room,0.23058667376250955,33,57.84848484848485,4.534242424242424
Jackson Heights,Entire home/apt,0.04357942955614308,23,154.69565217391303,4.6930434782608685
Jackson Heights,Private room,0.21965204635867377,62,81.11290322580645,4.5287096774193545
Jamaica,Entire home/apt,0.019345440284180105,73,153.21917808219177,4.704794520547945
Jamaica,Private room,0.20093325969132306,88,89.70454545454545,4.723409090909091
Kensington,Entire home/apt,-0.0796460079659973,17,150.05882352941177,4.732941176470589
Kensington,Private room,0.31339329355362033,12,142.125,4.5408333333333335
Kew Gardens,Private room,0.3487053563982791,13,76.46153846153847,4.85076923076923
Kingsbridge,Entire home/apt,0.2468864647721096,10,131.1,4.858
Kingsbridge,Private room,-0.5875542428374244,11,59.63636363636363,4.723636363636364
Kips Bay,Entire home/apt,-0.053073959609018756,141,219.7872340425532,4.625106382978723
Kips Bay,Private room,0.118784016465629,18,150.0,4.664444444444445
Laurelton,Entire home/apt,-0.46360668818756534,12,134.66666666666666,4.721666666666667
Laurelton,Private room,-0.0232079004957138,22,97.27272727272727,4.526818181818182
Little Italy,Entire home/apt,0.13910068721470684,51,185.2549019607843,4.575098039215686
Long Island City,Entire home/apt,-0.018697375149743792,75,221.17333333333335,4.789333333333333
Long Island City,Private room,-0.17524784611907857,88,139.3409090909091,4.676477272727272
Longwood,Private room,-0.3273509423959045,19,100.65789473684211,4.798421052631579
Lower East Side,Entire home/apt,-0.017762624709900535,155,235.6258064516129,4.676064516129033
Lower East Side,Private room,0.2318892846078511,62,189.6209677419355,4.541774193548386
Mariners Harbor,Private room,-0.045080730315491216,13,72.53846153846153,4.572307692307692
Maspeth,Entire home/apt,-0.01569626273034464,18,172.55555555555554,4.87
Maspeth,Private room,0.05549066089718641,24,83.625,4.836666666666667
Melrose,Private room,-0.4168513672219493,10,102.5,4.7829999999999995
Middle Village,Entire home/apt,-0.2334756529114173,11,160.45454545454547,4.649090909090909
Midtown,Entire home/apt,0.05214655684642344,414,261.0652173913044,4.6398792270531395
Midtown,Private room,0.26407596751684553,260,296.5480769230769,4.552615384615384
Midwood,Entire home/apt,0.11952011789207237,18,172.27777777777777,4.829444444444444
Midwood,Private room,0.3269848127948113,16,83.1875,4.76875
Morningside Heights,Entire home/apt,0.14215944602374328,16,193.75,4.383125
Morningside Heights,Private room,-0.06679438832179391,19,103.47368421052632,4.583684210526316
