support_priority_rank,listing_id,name,neighbourhood_cleansed,borough,room_type,minimum_nights,price,peer_median_price,price_gap_pct,available_days,total_days,vacancy_rate,support_reason
70,1290758282015059804,Scandinavian Chelsea Apt in NYC,Chelsea,Manhattan,Entire home/apt,90,400.0,180.0,1.2222,365,365,1.0,Strict 90+ night minimum AND price 122% above peer median; 100% vacant.
71,28635863,Fabulous West Village Modern Luxury,Greenwich Village,Manhattan,Entire home/apt,90,400.0,180.0,1.2222,365,365,1.0,Strict 90+ night minimum AND price 122% above peer median; 100% vacant.
72,7630422,Upper West Side Perfection,Upper West Side,Manhattan,Entire home/apt,30,400.0,180.0,1.2222,365,365,1.0,Strict 30+ night minimum AND price 122% above peer median; 100% vacant.
73,623882710917814272,Quintessential West Village Charmer,West Village,Manhattan,Entire home/apt,30,400.0,180.0,1.2222,365,365,1.0,Strict 30+ night minimum AND price 122% above peer median; 100% vacant.
74,770566178748431390,Harlem event/work /stay space,Harlem,Manhattan,Entire home/apt,30,400.0,180.0,1.2222,365,365,1.0,Strict 30+ night minimum AND price 122% above peer median; 100% vacant.
75,1346093486392263908,Spacious Soho Gem,SoHo,Manhattan,Entire home/apt,30,400.0,180.0,1.2222,365,365,1.0,Strict 30+ night minimum AND price 122% above peer median; 100% vacant.
76,51927795,Modern waterfront apartment,Williamsburg,Brooklyn,Entire home/apt,30,399.0,180.0,1.2167,365,365,1.0,Strict 30+ night minimum AND price 122% above peer median; 100% vacant.
77,649470584792583345,Perfect Chill Spot in Flatbush,East Flatbush,Brooklyn,Entire home/apt,30,399.0,180.0,1.2167,365,365,1.0,Strict 30+ night minimum AND price 122% above peer median; 100% vacant.
78,46798669,New UPW 2 bedroom apt in luxury doorman building,Upper West Side,Manhattan,Entire home/apt,30,396.0,180.0,1.2,365,365,1.0,Strict 30+ night minimum AND price 120% above peer median; 100% vacant.
79,774084891829212376,Beautiful Townhouse in Brooklyn,Prospect-Lefferts Gardens,Brooklyn,Entire home/apt,30,395.0,180.0,1.1944,365,365,1.0,Strict 30+ night minimum AND price 119% above peer median; 100% vacant.
80,837029221074776517,Giant artists duplex!,Bushwick,Brooklyn,Private room,30,242.0,111.0,1.1802,365,365,1.0,Strict 30+ night minimum AND price 118% above peer median; 100% vacant.
81,30425770,Queens Corner Lot,Queens Village,Queens,Private room,30,241.0,111.0,1.1712,365,365,1.0,Strict 30+ night minimum AND price 117% above peer median; 100% vacant.
