borough,room_type,minimum_nights_group,price_setting_group,q1,median,q3,whisker_low,whisker_high,sample_size,baseline_median_vacancy,vacancy_lift_pp
Brooklyn,Shared room,1-2 nights,High fixed price,0.688356,0.90274,0.917808,0.344178,1.0,4,0.70411,19.86
Brooklyn,Shared room,1-2 nights,Normal/lower fixed price,0.225342,0.70411,0.965068,0.0,1.0,6,0.70411,0.0
Brooklyn,Shared room,3-6 nights,High fixed price,0.753425,0.887671,0.891781,0.54589,1.0,3,0.70411,18.36
Brooklyn,Shared room,3-6 nights,Normal/lower fixed price,0.863014,0.909589,0.969863,0.70274,1.0,5,0.70411,20.55
Brooklyn,Shared room,30+ nights,High fixed price,0.994521,0.99726,1.0,0.986301,1.0,7,0.70411,29.32
Brooklyn,Shared room,30+ nights,Normal/lower fixed price,0.644521,0.80411,1.0,0.111301,1.0,12,0.70411,10.0
Manhattan,All,1-2 nights,High fixed price,0.287671,0.621918,0.821918,0.0,1.0,135,0.394521,22.74
Manhattan,All,1-2 nights,Normal/lower fixed price,0.160274,0.394521,0.703425,0.0,1.0,32,0.394521,0.0
Manhattan,All,3-6 nights,High fixed price,0.254795,0.565753,0.828082,0.0,1.0,120,0.394521,17.12
Manhattan,All,3-6 nights,Normal/lower fixed price,0.128767,0.360274,0.55411,0.0,1.0,26,0.394521,-3.42
Manhattan,All,30+ nights,High fixed price,0.471233,0.736986,0.991781,0.0,1.0,669,0.394521,34.25
Manhattan,All,30+ nights,Normal/lower fixed price,0.331507,0.664384,0.920548,0.0,1.0,1072,0.394521,26.99
Manhattan,All,7-29 nights,High fixed price,0.213699,0.490411,0.6,0.0,1.0,13,0.394521,9.59
Manhattan,All,7-29 nights,Normal/lower fixed price,0.441096,0.843836,0.848147,0.0,1.0,3,0.394521,44.93
Manhattan,Entire home/apt,1-2 nights,High fixed price,0.427397,0.650685,0.84589,0.0,1.0,68,0.293151,35.75
Manhattan,Entire home/apt,1-2 nights,Normal/lower fixed price,0.15137,0.293151,0.740411,0.0,1.0,10,0.293151,0.0
Manhattan,Entire home/apt,3-6 nights,High fixed price,0.249315,0.520548,0.808219,0.0,1.0,61,0.293151,22.74
Manhattan,Entire home/apt,3-6 nights,Normal/lower fixed price,0.161644,0.413699,0.523288,0.0,1.0,13,0.293151,12.05
Manhattan,Entire home/apt,30+ nights,High fixed price,0.447945,0.736986,0.980822,0.0,1.0,502,0.293151,44.38
Manhattan,Entire home/apt,30+ nights,Normal/lower fixed price,0.326027,0.641096,0.915068,0.0,1.0,729,0.293151,34.79
Manhattan,Entire home/apt,7-29 nights,High fixed price,0.213014,0.454795,0.620548,0.0,1.0,10,0.293151,16.16
Manhattan,Entire home/apt,7-29 nights,Normal/lower fixed price,0.239726,0.441096,0.642466,0.0,1.0,2,0.293151,14.79
Manhattan,Private room,1-2 nights,High fixed price,0.165068,0.409589,0.74863,0.0,1.0,66,0.435616,-2.6
Manhattan,Private room,1-2 nights,Normal/lower fixed price,0.165753,0.435616,0.674658,0.0,1.0,22,0.435616,0.0
Manhattan,Private room,3-6 nights,High fixed price,0.286301,0.568493,0.829452,0.0,1.0,58,0.435616,13.29
Manhattan,Private room,3-6 nights,Normal/lower fixed price,0.087671,0.284932,0.586301,0.0,1.0,13,0.435616,-15.07
Manhattan,Private room,30+ nights,High fixed price,0.488356,0.738356,0.99726,0.0,1.0,162,0.435616,30.27
