review_month,room_type,review_count
2017-06,Entire home/apt,2452
2017-06,Hotel room,3
2017-06,Private room,2380
2017-06,Shared room,30
2017-07,Entire home/apt,2528
2017-07,Hotel room,6
2017-07,Private room,2451
2017-07,Shared room,33
2017-08,Entire home/apt,2644
2017-08,Hotel room,4
2017-08,Private room,2726
2017-08,Shared room,35
2017-09,Entire home/apt,3148
2017-09,Hotel room,3
2017-09,Private room,3492
2017-09,Shared room,56
2017-10,Entire home/apt,3146
2017-10,Hotel room,1
2017-10,Private room,3207
2017-10,Shared room,36
2017-11,Entire home/apt,2398
2017-11,Private room,2271
2017-11,Shared room,25
2017-12,Entire home/apt,2647
2017-12,Hotel room,3
2017-12,Private room,2599
2017-12,Shared room,46
2018-01,Entire home/apt,2050
2018-01,Hotel room,2
2018-01,Private room,2058
2018-01,Shared room,19
2018-02,Entire home/apt,1518
2018-02,Hotel room,1
2018-02,Private room,1380
2018-02,Shared room,19
2018-03,Entire home/apt,2412
2018-03,Hotel room,3
2018-03,Private room,2306
2018-03,Shared room,27
2018-04,Entire home/apt,3182
2018-04,Hotel room,4
2018-04,Private room,2944
2018-04,Shared room,35
2018-05,Entire home/apt,3704
2018-05,Hotel room,10
2018-05,Private room,3838
2018-05,Shared room,49
2018-06,Entire home/apt,3579
2018-06,Hotel room,5
2018-06,Private room,3452
2018-06,Shared room,61
2018-07,Entire home/apt,3725
2018-07,Hotel room,7
2018-07,Private room,3399
2018-07,Shared room,48
2018-08,Entire home/apt,3918
2018-08,Hotel room,7
2018-08,Private room,3614
2018-08,Shared room,50
2018-09,Entire home/apt,4254
2018-09,Hotel room,6
2018-09,Private room,4368
2018-09,Shared room,59
2018-10,Entire home/apt,4466
2018-10,Hotel room,7
2018-10,Private room,4559
2018-10,Shared room,61
2018-11,Entire home/apt,3684
2018-11,Hotel room,3
2018-11,Private room,3468
2018-11,Shared room,56
2018-12,Entire home/apt,3857
2018-12,Hotel room,3
2018-12,Private room,3636
2018-12,Shared room,58
2019-01,Entire home/apt,2683
2019-01,Hotel room,5
2019-01,Private room,2705
2019-01,Shared room,44
2019-02,Entire home/apt,2130
2019-02,Hotel room,8
2019-02,Private room,2011
2019-02,Shared room,23
2019-03,Entire home/apt,3484
2019-03,Hotel room,5
2019-03,Private room,3253
2019-03,Shared room,44
2019-04,Entire home/apt,4331
2019-04,Hotel room,8
2019-04,Private room,4050
2019-04,Shared room,66
2019-05,Entire home/apt,5016
2019-05,Hotel room,8
2019-05,Private room,4878
2019-05,Shared room,74
2019-06,Entire home/apt,4849
2019-06,Hotel room,13
2019-06,Private room,4631
2019-06,Shared room,69
2019-07,Entire home/apt,4874
2019-07,Hotel room,11
2019-07,Private room,4095
2019-07,Shared room,81
2019-08,Entire home/apt,4898
2019-08,Hotel room,10
2019-08,Private room,4484
2019-08,Shared room,61
2019-09,Entire home/apt,5775
2019-09,Hotel room,24
2019-09,Private room,5476
2019-09,Shared room,75
2019-10,Entire home/apt,5561
2019-10,Hotel room,17
2019-10,Private room,5415
2019-10,Shared room,75
2019-11,Entire home/apt,4497
2019-11,Hotel room,25
2019-11,Private room,4406
2019-11,Shared room,51
2019-12,Entire home/apt,5082
2019-12,Hotel room,7
2019-12,Private room,4506
2019-12,Shared room,53
2020-01,Entire home/apt,3469
2020-01,Hotel room,27
2020-01,Private room,3326
2020-01,Shared room,31
2020-02,Entire home/apt,3033
2020-02,Hotel room,39
2020-02,Private room,2720
2020-02,Shared room,27
2020-03,Entire home/apt,2271
2020-03,Hotel room,24
2020-03,Private room,1963
2020-03,Shared room,23
2020-04,Entire home/apt,357
2020-04,Hotel room,36
2020-04,Private room,331
2020-05,Entire home/apt,627
2020-05,Hotel room,43
2020-05,Private room,434
2020-06,Entire home/apt,974
2020-06,Hotel room,39
2020-06,Private room,689
2020-06,Shared room,9
2020-07,Entire home/apt,1475
2020-07,Hotel room,211
2020-07,Private room,1102
2020-07,Shared room,19
2020-08,Entire home/apt,1884
2020-08,Hotel room,327
2020-08,Private room,1323
2020-08,Shared room,25
2020-09,Entire home/apt,1819
2020-09,Hotel room,140
2020-09,Private room,1355
2020-09,Shared room,22
2020-10,Entire home/apt,1947
2020-10,Hotel room,181
2020-10,Private room,1559
2020-10,Shared room,16
2020-11,Entire home/apt,1916
2020-11,Hotel room,122
2020-11,Private room,1372
2020-11,Shared room,12
2020-12,Entire home/apt,1583
2020-12,Hotel room,159
2020-12,Private room,1282
2020-12,Shared room,8
2021-01,Entire home/apt,1848
2021-01,Hotel room,287
2021-01,Private room,1618
2021-01,Shared room,17
2021-02,Entire home/apt,1639
2021-02,Hotel room,232
2021-02,Private room,1499
2021-02,Shared room,17
2021-03,Entire home/apt,2061
2021-03,Hotel room,233
2021-03,Private room,1854
2021-03,Shared room,18
2021-04,Entire home/apt,2416
2021-04,Hotel room,196
2021-04,Private room,2264
2021-04,Shared room,21
2021-05,Entire home/apt,3367
2021-05,Hotel room,135
2021-05,Private room,2874
2021-05,Shared room,48
