listing_id,latitude,longitude,number_of_reviews_ltm,host_is_superhost,neighbourhood_cleansed
4132116,40.63486,-73.95898,25,False,Flatbush
4134035,40.69670128361811,-73.9822190028007,24,True,Downtown Brooklyn
3987571,40.6808437012852,-73.94862123192603,31,True,Bedford-Stuyvesant
3989564,40.68143,-73.94275,28,True,Bedford-Stuyvesant
4152752,40.76377541830768,-73.99046821837572,77,True,Hell's Kitchen
4025329,40.81469,-73.94324,18,False,Harlem
4183989,40.80468,-73.94913,6,False,Harlem
4285522,40.81445,-73.94156,6,False,Harlem
4268286,40.79655220499361,-73.9382888834945,24,False,East Harlem
4299536,40.6844,-73.95924,14,True,Clinton Hill
4469650,40.80633,-73.94585,29,False,Harlem
4550602,40.67500305175781,-73.95166778564453,21,False,Crown Heights
4550747,40.675,-73.95167,14,False,Crown Heights
4559096,40.75973311047763,-73.99572709707883,57,True,Hell's Kitchen
4576206,40.68102,-73.97028,29,True,Prospect Heights
4756551,40.65782,-73.96096,16,False,Prospect-Lefferts Gardens
4760085,40.67868729420106,-73.9750925522551,65,True,Park Slope
4784570,40.686919439423065,-73.92831171828776,9,False,Bedford-Stuyvesant
4968633,40.68238,-73.93794,44,True,Bedford-Stuyvesant
4978241,40.81141,-73.93975,35,True,Harlem
4885569,40.73053,-74.00097,9,True,Greenwich Village
5106749,40.76024,-73.92986,7,True,Long Island City
4928303,40.67500305175781,-73.95166778564453,28,False,Crown Heights
4936254,40.7191,-73.9834,65,True,Lower East Side
5519207,40.80712,-73.93898,37,True,East Harlem
5237336,40.69657,-73.96884,113,True,Clinton Hill
5545560,40.79208093995205,-73.96565373539413,47,True,Upper West Side
5298896,40.70419,-74.01127,52,True,Financial District
5309959,40.69579,-73.83174,40,True,Richmond Hill
5353612,40.73478927712448,-74.00745939388531,40,True,West Village
5406041,40.7265154,-73.9777228,44,False,East Village
5445314,40.70408,-73.98645,28,True,DUMBO
5783517,40.67500305175781,-73.95166778564453,35,False,Crown Heights
6091850,40.760786,-73.928743,24,True,Long Island City
6101104,40.77309278128386,-73.95114664698917,12,True,Upper East Side
5846745,40.67838407231255,-73.97578296454397,56,True,Park Slope
6146783,40.63992,-73.96424,27,True,Flatbush
6000898,40.78287,-73.95169,26,False,Upper East Side
6237443,40.67422,-73.96759,43,True,Prospect Heights
6237974,40.68294039149927,-73.92440540914683,8,True,Bedford-Stuyvesant
6422511,40.75383,-73.8199,35,False,Flushing
6348972,40.806291106415856,-73.94843616982443,23,True,Harlem
6357128,40.80803,-73.94796,16,True,Harlem
6474699,40.67248,-73.9333,25,True,Crown Heights
6505927,40.68768245718645,-73.94200189132947,30,True,Bedford-Stuyvesant
6634590,40.81056,-73.95374,12,True,Harlem
6746003,40.61983,-74.08495,41,True,Clifton
6647114,40.73134,-74.00371,12,False,West Village
6764316,40.70461,-73.98776,59,True,DUMBO
6704737,40.81436,-73.94175,27,False,Harlem
6808818,40.689726,-73.915115,44,True,Bushwick
6846956,40.71593095343219,-73.96423225624083,15,True,Williamsburg
6939597,40.81113098561469,-73.9237869565086,8,True,Mott Haven
6977204,40.81415,-73.95067,38,True,Harlem
7053502,40.68965,-73.97417,54,True,Fort Greene
7071657,40.77532,-73.95194,24,True,Upper East Side
6992831,40.6343,-73.96441,29,True,Flatbush
7072541,40.69379906825383,-73.92084213559555,15,False,Bushwick
7255372,40.687,-73.9224,10,True,Bedford-Stuyvesant
7261928,40.657676,-73.90839509999999,16,False,Brownsville
7265079,40.67382,-73.97757,7,False,Park Slope
7331070,40.76603,-73.77133,13,True,Bayside
7556669,40.68826,-73.98558,6,True,Boerum Hill
7654931,40.69035,-73.92879,49,True,Bedford-Stuyvesant
7837816,40.69503,-73.95971,91,True,Bedford-Stuyvesant
7746286,40.80783,-73.94321,34,True,Harlem
7754697,40.68816260821017,-73.94276855485504,24,False,Bedford-Stuyvesant
7860155,40.76339,-73.96739,6,True,Upper East Side
7871818,40.69647,-73.91857,30,False,Bushwick
7919372,40.67500305175781,-73.95166778564453,33,False,Crown Heights
8054651,40.68884,-73.93059,51,True,Bedford-Stuyvesant
8055508,40.68998,-73.9307,47,True,Bedford-Stuyvesant
8055582,40.69049,-73.93005,41,True,Bedford-Stuyvesant
8055721,40.68879,-73.92859,56,True,Bedford-Stuyvesant
8055778,40.68886,-73.92871,55,True,Bedford-Stuyvesant
8272327,40.688012171951854,-73.99825605762824,26,True,Cobble Hill
8275676,40.54456,-74.14783,9,True,Great Kills
8152916,40.84403,-73.93424,37,True,Washington Heights
8293281,40.67786687682116,-73.97272303285371,26,True,Prospect Heights
8173001,40.65697,-73.83344,17,True,Howard Beach
8327773,40.68088,-73.93003,42,True,Bedford-Stuyvesant
8479799,40.778879816835904,-73.98747661756214,38,True,Upper West Side
8426915,40.66985,-73.77659,47,True,Jamaica
8536270,40.74572,-73.97531,22,True,Murray Hill
8704528,40.67695402753895,-74.01460717300326,75,True,Red Hook
8712309,40.69611,-73.93356,22,True,Bushwick
8754560,40.81004,-73.94715,18,True,Harlem
8763502,40.70812,-73.94382,27,True,Williamsburg
8793166,40.67741,-73.9275,6,True,Bedford-Stuyvesant
8873479,40.73560575436411,-73.98182548191754,45,True,Gramercy
9064714,40.7444822757433,-73.95367293785192,19,True,Long Island City
9093219,40.81088830997633,-73.94167643932643,14,True,Harlem
9118958,40.69389,-73.83256,27,True,Richmond Hill
9155212,40.72715,-73.98714,6,False,East Village
9181483,40.72337,-73.97944,6,True,East Village
9278192,40.74566,-73.88326,24,True,Elmhurst
9328578,40.82152,-73.94568,13,True,Harlem
9458704,40.76217,-73.99153,7,False,Hell's Kitchen
