review_year,month_num,month_label,listing_id,name,room_type,neighbourhood_cleansed,review_count,review_scores_rating,price,number_of_reviews_ltm
2020,6,Jun,20970822,Pet & Tony's Residence,Entire home/apt,East Flatbush,12,4.93,100.0,0.0
2020,6,Jun,19554564,15% discount; couple's retreat; modern; spacious,Private room,Bushwick,12,4.82,230.0,1.0
2020,6,Jun,39537097,"Cozy Private studio in Astoria, 20 min to Manhatta",Entire home/apt,Ditmars Steinway,11,4.87,90.0,4.0
2020,6,Jun,23060192,Peaceful Home in Brooklyn Close to Manhattan,Entire home/apt,Crown Heights,11,4.83,,2.0
2020,6,Jun,34072049,Queen Room City,Hotel room,Midtown,11,4.54,,0.0
2020,6,Jun,35085826,A Simple Studio/JFK abt 5mi,Entire home/apt,St. Albans,10,4.9,132.0,0.0
2020,6,Jun,14707648,Surfside Studio,Entire home/apt,Rockaway Beach,9,4.83,83.0,1.0
2020,6,Jun,37564878,Special for Travel nurse by the hospital,Private room,Claremont Village,9,4.83,58.0,1.0
2020,6,Jun,42507723,Modern 3BR/1B in prime location (15 Min to City),Entire home/apt,Crown Heights,9,4.82,118.0,3.0
2020,6,Jun,1300216,1 Bdrm Apt near 30 Ave flex dates…just ask!,Entire home/apt,Astoria,9,4.81,161.0,2.0
2020,6,Jun,29592768,Filomena’s,Private room,Ditmars Steinway,9,4.81,89.0,1.0
2020,6,Jun,20480983,Spacious Top Floor Open Loft Suite,Private room,Concourse,9,4.79,110.0,66.0
2020,6,Jun,32317602,LARGE 2 Bedroom Midtown Manhattan Apartment!,Entire home/apt,Hell's Kitchen,9,4.51,,0.0
2020,6,Jun,35258943,The Baly Simpson Inn (Unit 1),Private room,Prospect-Lefferts Gardens,8,4.92,225.0,0.0
2020,6,Jun,32284910,"Nice 1-Room near LGA, Citi Field, Manhattan",Private room,East Elmhurst,8,4.82,60.0,0.0
2020,6,Jun,9788114,The Grand Suite,Private room,Concourse,8,4.79,125.0,83.0
2020,6,Jun,1411811,"Charming Parlor Apt by Bleecker, Old World Village",Entire home/apt,West Village,8,4.79,404.0,38.0
2020,6,Jun,31697123,Montauk Guest Suite,Entire home/apt,East New York,8,4.74,85.0,1.0
2020,7,Jul,34072049,Queen Room City,Hotel room,Midtown,142,4.54,,0.0
2020,7,Jul,1450862564789069925,Afternoon pineapple treats in the lobby,Private room,Hell's Kitchen,28,4.62,,4.0
2020,7,Jul,34071692,Two Twin Room,Hotel room,SoHo,28,4.43,,0.0
2020,7,Jul,32284910,"Nice 1-Room near LGA, Citi Field, Manhattan",Private room,East Elmhurst,17,4.82,60.0,0.0
2020,7,Jul,39537097,"Cozy Private studio in Astoria, 20 min to Manhatta",Entire home/apt,Ditmars Steinway,15,4.87,90.0,4.0
2020,7,Jul,36601571,"Sohotel, Premium King",Private room,Little Italy,15,4.72,,0.0
2020,7,Jul,43742522,Cozy Room Near JFK,Private room,South Ozone Park,15,4.61,100.0,82.0
2020,7,Jul,38496782,Spacious Newly Renovated 2 bedroom Apt,Entire home/apt,Canarsie,14,4.69,69.0,0.0
2020,7,Jul,20970822,Pet & Tony's Residence,Entire home/apt,East Flatbush,13,4.93,100.0,0.0
2020,7,Jul,35149019,"NU Hotel, Standard Queen",Private room,Downtown Brooklyn,13,4.49,394.0,23.0
2020,7,Jul,43847085,A Bronx Oasis in Throggs Neck!,Private room,Throgs Neck,12,4.82,,0.0
2020,7,Jul,29592768,Filomena’s,Private room,Ditmars Steinway,12,4.81,89.0,1.0
2020,7,Jul,36900144,Premium Home | Outdoor Spaces | Manhattan 30 Min,Entire home/apt,Bedford-Stuyvesant,11,4.88,199.0,6.0
2020,7,Jul,9788114,The Grand Suite,Private room,Concourse,11,4.79,125.0,83.0
2020,7,Jul,33833257,Huge Room   30 Min To Manhattan,Private room,Bedford-Stuyvesant,11,4.59,,0.0
2020,7,Jul,32317602,LARGE 2 Bedroom Midtown Manhattan Apartment!,Entire home/apt,Hell's Kitchen,11,4.51,,0.0
2020,7,Jul,43497073,"Rockaway Beach, walk to local hotspots!",Entire home/apt,Belle Harbor,10,4.94,128.0,52.0
2020,7,Jul,34742861,Beautiful Studio Steps from Q Train (GREEN),Entire home/apt,Flatbush,10,4.92,102.0,2.0
2020,7,Jul,33469797,NYC Paradise POOL OASIS,Entire home/apt,Jamaica,10,4.9,100.0,2.0
2020,7,Jul,23060192,Peaceful Home in Brooklyn Close to Manhattan,Entire home/apt,Crown Heights,10,4.83,,2.0
2020,8,Aug,34072049,Queen Room City,Hotel room,Midtown,194,4.54,,0.0
2020,8,Aug,34071692,Two Twin Room,Hotel room,SoHo,39,4.43,,0.0
2020,8,Aug,37122162,Beautiful Standard Full Room at The Ridge,Private room,Lower East Side,38,4.42,238.0,24.0
2020,8,Aug,22431770,Freehand New York - Premium Queen Room,Hotel room,Flatiron District,32,4.48,383.0,35.0
2020,8,Aug,34071691,City Queen,Hotel room,SoHo,24,4.57,,0.0
2020,8,Aug,35545595,Georgian Studio in the Heart of Chelsea,Private room,Chelsea,22,4.38,275.0,81.0
2020,8,Aug,34071962,King Room Sky,Hotel room,Midtown,17,4.6,,1.0
2020,8,Aug,39833359,Cozy Studio with a Modern/Luxe Feel,Entire home/apt,Astoria,15,4.98,199.0,59.0
2020,8,Aug,35154803,Luxury City Suites Steps from Central Park,Private room,Midtown,14,4.58,339.0,13.0
2020,8,Aug,35149019,"NU Hotel, Standard Queen",Private room,Downtown Brooklyn,14,4.49,394.0,23.0
2020,8,Aug,31059670,Entire Place_Upscale Sunny Duplex w/Large Backyard,Entire home/apt,Bushwick,13,4.88,229.0,20.0
2020,8,Aug,36900144,Premium Home | Outdoor Spaces | Manhattan 30 Min,Entire home/apt,Bedford-Stuyvesant,13,4.88,199.0,6.0
2020,8,Aug,20326252,1 Bedroom  in St. Albans Home w/Pac-man,Private room,St. Albans,13,4.78,113.0,42.0
2020,8,Aug,17097239,Coney Island 2 Bedroom in Central Location,Entire home/apt,Coney Island,13,4.73,,0.0
2020,8,Aug,43742522,Cozy Room Near JFK,Private room,South Ozone Park,13,4.61,100.0,82.0
2020,8,Aug,32284910,"Nice 1-Room near LGA, Citi Field, Manhattan",Private room,East Elmhurst,12,4.82,60.0,0.0
2020,8,Aug,32777169,Beautiful Bedroom in Manhattan,Private room,Washington Heights,12,4.24,,0.0
2020,8,Aug,20970822,Pet & Tony's Residence,Entire home/apt,East Flatbush,11,4.93,100.0,0.0
2020,8,Aug,38496782,Spacious Newly Renovated 2 bedroom Apt,Entire home/apt,Canarsie,11,4.69,69.0,0.0
2020,8,Aug,36998345,Spacious Sunny Loft in Brooklyn,Entire home/apt,Williamsburg,10,4.98,180.0,6.0
2020,9,Sep,37122162,Beautiful Standard Full Room at The Ridge,Private room,Lower East Side,44,4.42,238.0,24.0
2020,9,Sep,34072049,Queen Room City,Hotel room,Midtown,39,4.54,,0.0
2020,9,Sep,36601571,"Sohotel, Premium King",Private room,Little Italy,33,4.72,,0.0
2020,9,Sep,34071962,King Room Sky,Hotel room,Midtown,27,4.6,,1.0
2020,9,Sep,35545595,Georgian Studio in the Heart of Chelsea,Private room,Chelsea,26,4.38,275.0,81.0
2020,9,Sep,34072160,Queen Room,Hotel room,Midtown,22,4.6,,0.0
2020,9,Sep,43742522,Cozy Room Near JFK,Private room,South Ozone Park,15,4.61,100.0,82.0
2020,9,Sep,37122502,Amazing Micro Unit W/ communal rooftop and kitchen,Private room,East Village,15,4.54,279.0,29.0
2020,9,Sep,34337267,Beautiful Studio Steps from Q Train (BLUE),Entire home/apt,Flatbush,14,4.91,106.0,3.0
